Frame,Time,M Gaze,P1 Gaze,P2 Gaze,M ASR,P1 ASR,P2 ASR,
888,17.76,,,,,,,
889,17.78,,,,,,,
890,17.8,,,,,,,
891,17.82,,,,,,,
892,17.84,,,,,,,
893,17.86,,,,,,,
894,17.88,,,,,,,
895,17.9,,,,,,,
896,17.92,,,,,,,
897,17.94,,,,,,,
898,17.96,,,,,,,
899,17.98,,,,,,,
900,18,,,,,,,
901,18.02,,,,,,,
902,18.04,,,,,,,
903,18.06,,,,,,,
904,18.08,,,,,,,
905,18.1,,,,,,,
906,18.12,,,,,,,
907,18.14,,,,,,,
908,18.16,,,,,,,
909,18.18,,,,,,,
910,18.2,,,,,,,
911,18.22,,,,,,,
912,18.24,,,,,,,
913,18.26,,,,,,,
914,18.28,,,,,,,
915,18.3,,,,,,,
916,18.32,,,,,,,
917,18.34,,,,,,,
918,18.36,,,,,,,
919,18.38,,,,,,,
920,18.4,,,,,,,
921,18.42,,,,,,,
922,18.44,,,,,,,
923,18.46,,,,,,,
924,18.48,,,,,,,
925,18.5,,,,,,,
926,18.52,,,,,,,
927,18.54,,,,,,,
928,18.56,,,,,,,
929,18.58,,,,,,,
930,18.6,,,,,,,
931,18.62,,,,,,,
932,18.64,,,,,,,
933,18.66,,,,,,,
934,18.68,,,,,,,
935,18.7,,,,,,,
936,18.72,,,,,,,
937,18.74,,,,,,,
938,18.76,,,,,,,
939,18.78,,,,,,,
940,18.8,,,,,,,
941,18.82,,,,,,,
942,18.84,,,,,,,
943,18.86,,,,,,,
944,18.88,,,,,,,
945,18.9,,,,,,,
946,18.92,,,,,,,
947,18.94,,,,,,,
948,18.96,,,,,,,
949,18.98,,,,,,,
950,19,,,,,,,
951,19.02,,,,,,,
952,19.04,,,,,,,
953,19.06,,,,,,,
954,19.08,,,,,,,
955,19.1,,,,,,,
956,19.12,,,,,,,
957,19.14,,,,,,,
958,19.16,,,,,,,
959,19.18,,,,,,,
960,19.2,,,,,,,
961,19.22,,,,,,,
962,19.24,,,,,,,
963,19.26,,,,,,,
964,19.28,,,,,,,
965,19.3,,,,,,,
966,19.32,,,,,,,
967,19.34,,,,,,,
968,19.36,,,,,,,
969,19.38,,,,,,,
970,19.4,,,,,,,
971,19.42,,,,,,,
972,19.44,,,,,,,
973,19.46,,,,,,,
974,19.48,,,,,,,
975,19.5,,,,,,,
976,19.52,,,,,,,
977,19.54,,,,,,,
978,19.56,,,,,,,
979,19.58,,,,,,,
980,19.6,,,O4,,,,
981,19.62,,,O4,,,,
982,19.64,,,,,,,
983,19.66,,,,,,,
984,19.68,,,,,,,
985,19.7,,,,,,,
986,19.72,,,,,,,
987,19.74,,,,,,,
988,19.76,,,,,,,
989,19.78,,,,,,,
990,19.8,,,,,,,
991,19.82,,,,,,,
992,19.84,,,,,,,
993,19.86,,,,,,,
